produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_shale_gas,produccion_tight_gas,anio,produccion_no_convencional,produccion_convencional,mes
935667.1203,482014.5633,2222652.8485,225813.134,4502.6912,3870650.3573,142895.735048,764274.9748416019,2016,907170.7098896019,2963479.647410398,8
901979.6686,461995.8479,2136427.1306,215117.3172,4331.9144,3719851.8787,135884.325611,735552.5254863377,2016,871436.8510973377,2848415.0276026623,9
920392.748,479336.0092,2240091.1951,219059.9703,4198.7387,3863078.6613,155698.471515,791004.0504469972,2016,946702.5219619971,2916376.1393380025,10
835128.7551,467064.464,2119859.6454,210972.9569,4030.2517,3637056.0731,147214.148937,756904.2293069729,2016,904118.3782439729,2732937.694856027,11
878217.2212,472257.376,2195474.3576,214555.8474,3825.8617,3764330.6639,153623.849691,784773.4588061018,2016,938397.3084971018,2825933.355402898,12
910261.2793,470574.11,2215900.2394,214871.0656,4390.204,3815996.8983,158346.58375,795378.9138264123,2017,953725.4975764123,2862271.4007235877,1
652088.5484,425334.8075,1999013.2967,193729.5535,3723.0377,3273889.2438,143825.241792,722571.002456566,2017,866396.244248566,2407492.999551434,2
916305.226,462853.2439,2194132.0553,211337.3976,4195.3741,3788823.2969,172736.4851,797961.5288277732,2017,970698.0139277731,2818125.282972227,3
890076.9236,431358.4495,2169766.0245,203406.577,3996.1721,3698604.1467,171835.45877,799630.2424479021,2017,971465.7012179021,2727138.4454820976,4
876745.0849,461300.198,2235178.898,208062.5106,4124.0716,3785410.7631,183536.933506,826469.5564141625,2017,1010006.4899201625,2775404.2731798375,5
879096.8291,436311.5726,2151746.1826,197862.6806,3758.2511,3668775.516,179132.023821,795270.0472068208,2017,974402.0710278208,2694373.444972179,6
932777.1635,446867.7969,2239069.1812,202551.8481,3934.1465,3825200.1362,190578.96116,836997.4378282228,2017,1027576.3989882227,2797623.7372117774,7
931474.7163,451705.0943,2250940.0667,200391.1529,3991.1482,3838502.1784,191138.887696,855688.856092995,2017,1046827.7437889951,2791674.434611005,8
890732.5602,440807.2837,2200257.7031,191379.9824,4083.6612,3727261.1906,190277.58002,825700.6297396966,2017,1015978.2097596966,2711282.980840303,9
964437.817,450368.1072,2232011.9237,196293.5216,4059.8135,3847171.183,225849.41006,839080.9791584442,2017,1064930.3892184442,2782240.793781556,10
871092.4327,428210.8212,2065508.7833,187751.79,3844.8189,3556408.6461,226093.857387,762915.0677962874,2017,989008.9251832874,2567399.7209167127,11
966965.659,442569.4077,2187681.8786,193198.4353,4318.7222,3794734.1028,257117.64553,836636.8388113278,2017,1093754.4843413278,2700979.6184586724,12
971348.8593,440588.2678,2237934.7034,191083.0689,4440.8157,3845395.7151,284055.549798,865811.1143046322,2018,1149866.664102632,2695529.050997368,1
840996.8234,389427.0396,2095118.4954,165962.256,3988.8159,3495493.4303,323362.60397,795357.2073708224,2018,1118719.8113408224,2376773.6189591778,2
945715.6674,433756.9364,2338852.0427,179273.5193,4312.2948,3901910.4606,400631.54236,885057.3480712208,2018,1285688.8904312209,2616221.570168779,3
957017.6847,414539.0269,2333228.2071,168447.2146,4238.1506,3877470.2839,414724.07841022935,881973.8510343989,2018,1296697.9294446283,2580772.354455372,4
995247.8307,413614.2879,2350867.6348,181682.0853,4073.6408,3945485.4795,481252.36004,845878.7125164601,2018,1327131.07255646,2618354.40694354,5
987577.0035,398422.3161,2400801.5986,176058.5994,4028.1737,3966887.6913,524576.04721,898403.9775626824,2018,1422980.0247726822,2543907.666527318,6
1028396.5852,416507.0979,2465718.7362,181561.429,4179.9222,4096363.7705,555943.493215,902289.5028234104,2018,1458232.9960384103,2638130.7744615898,7
1036868.6823,412271.133,2512559.7162,182083.3631,4194.2583,4147977.1529,634646.363421,882764.3569814765,2018,1517410.7204024764,2630566.4324975237,8
985353.3949,407643.7906,2385061.6472,172112.2739,3840.4157,3954011.5223,676549.41664,795787.5511235738,2018,1472336.9677635739,2481674.554536426,9
1025904.9509,405969.2785,2491855.0642,175659.1519,3925.4038,4103313.8493,773119.97359,781913.2392823889,2018,1555033.2128723888,2548280.636427611,10
763919.8696,402455.8368,2359413.7193,167395.465,3705.8118,3696890.7025,801587.374414,701211.2623742914,2018,1502798.6367882914,2194092.0657117087,11
983091.9956,412907.223,2422651.6884,167675.3331,4041.1405,3990367.3806,856781.888836,727045.3125333505,2018,1583827.2013693505,2406540.179230649,12
966655.7903,406105.475,2460131.3406,163318.5963,3988.8752,4000200.0774,892020.0204241627,750845.1292119821,2019,1642865.1496361447,2357334.927763855,1
891634.8423,370879.6592,2360072.9984,144338.7839,3660.0503,3770586.3341,871367.2228014576,688906.7735282293,2019,1560273.996329687,2210312.337770313,2
998957.6042,412968.0207,2440365.4224,157687.1242,4132.4018,4014110.5733,907384.9738570001,726249.9484817139,2019,1633634.922338714,2380475.650961286,3
970570.9347,395673.5707,2424397.1193,154235.8215,3960.8433,3948838.2895,864191.895616,747836.195856,2019,1612028.091472,2336810.198028,4
1054441.4503,403832.1863,2624905.7915,158373.2511,4231.6723,4245784.3515,932413.2253650002,837169.448635,2019,1769582.674,2476201.6774999998,5
1022900.3939,394972.6274,2625055.1052,152997.0387,3940.8988,4199866.064,981702.9358960001,844232.22418,2019,1825935.1600760003,2373930.903924,6
1087216.7938,405153.2738,2825676.2937,154779.8666,4154.479,4476980.7069,1081010.727604,878911.1178,2019,1959921.845404,2517058.8614959996,7
1083213.6055,400345.7133,2835408.7958,153629.2577,4512.7958,4477110.1681,1104570.995206,888347.127961,2019,1992918.123167,2484192.0449330006,8
1025426.5698,374980.0948,2585550.1891,148080.4802,4264.2235,4138301.5574,1021117.919481,808485.154267,2019,1829603.073748,2308698.483652,9
1049175.6386,386011.2808,2742708.2894,154623.6464,4412.6883,4336931.5435,1093762.30586,842060.901017,2019,1935823.206877,2401108.336623,10
933831.9262,364349.1722,2358756.6023,148335.1373,4270.0012,3809542.8392,854007.757234,768853.589184,2019,1622861.346418,2186681.4927819995,11
956701.7568,366061.6708,2453176.213,152362.7572,4535.3854,3932837.7832,918356.63046371,782011.44462,2019,1700368.07508371,2232469.70811629,12
973515.7046,375510.3083,2531540.3212,152143.4102,4492.5086,4037202.2529,1007007.230706,790313.45324,2020,1797320.683946,2239881.5689540002,1
901000.7085,341472.3321,2318310.7305,138763.6016,4223.0885,3703770.4612,941035.197948,684037.345814,2020,1625072.543762,2078697.9174379997,2
967785.5815,383108.331,2420996.0804,148807.0332,4567.1007,3925264.1268,957243.240626,740325.96601,2020,1697569.206636,2227694.9201640002,3
881554.3128,360124.4994,2114694.9626,141777.4946,4060.4786,3502211.748,821643.127288,655814.643887,2020,1477457.771175,2024753.9768250003,4
1013028.7894,358227.891,2338840.1706,144543.1041,3970.2989,3858610.254,910475.690315,732219.090314,2020,1642694.7806290002,2215915.473371,5
981983.2898,338179.1794,2318492.142,138479.4137,3524.39,3780658.4149,945927.6778945,684883.936671,2020,1630811.6145655,2149846.8003345,6
998305.9558,338159.8756,2447894.3466,143287.1667,4022.178,3931669.5227,997564.42693995,717481.312107,2020,1715045.73904695,2216623.78365305,7
985009.3426,328542.3918,2437837.0799,139932.762,4237.296,3895558.8723,998006.70736587,702656.820788,2020,1700663.52815387,2194895.3441461297,8
957441.9468,331523.0333,2253932.8402,138600.5214,3828.709,3685327.0507,894122.7033382,667178.498326,2020,1561301.2016642,2124025.8490358,9
994037.0007,340488.0898,2295075.9927,144287.8796,4150.79,3778039.7528,929428.7419417,686739.210631,2020,1616167.9525727,2161871.8002273,10
932467.9041,325383.953,2073481.2011,136219.2189,4019.5393,3471571.8164,780329.9125301,632051.628088,2020,1412381.5406181,2059190.2757819,11
948700.7691,336838.4038,2102920.0992,137306.7197,4012.4665,3529778.4583,782710.5454531,665896.994164,2020,1448607.5396171,2081170.9186829,12
